ID_Registro_Fundo;ID_Registro_Classe;CNPJ_Classe;Codigo_CVM;Data_Registro;Data_Constituicao;Data_Inicio;Tipo_Classe;Denominacao_Social;Situacao;Data_Inicio_Situacao;Classificacao;Indicador_Desempenho;Classe_Cotas;Classificacao_Anbima;Tributacao_Longo_Prazo;Entidade_Investimento;Permitido_Aplicacao_CemPorCento_Exterior;Classe_ESG;Forma_Condominio;Exclusivo;Publico_Alvo;Patrimonio_Liquido;Data_Patrimonio_Liquido;CNPJ_Auditor;Auditor;CNPJ_Custodiante;Custodiante;CNPJ_Controlador;Controlador
349;33935;332266000131;8907;2025-06-27;2025-06-27;2025-06-27;Classes de Cotas de Fundos FII;VIA PARQUE SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-27;;;;;;;;N;Fechado;;;258340696.87;2026-02-28;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;7253654000176;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;
351;33936;613094000174;6645;2025-06-06;2025-06-06;2025-06-06;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;Em Funcionamento Normal;2025-06-06;;;;;;;;N;Fechado;;;-26009318.40;2026-02-28;13859935000170;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;45246410000155;BANCO GENIAL S.A.;;
352;33937;762723000128;8915;2025-06-05;2025-06-05;2025-06-05;Classes de Cotas de Fundos FII;CENTRO TÊXTIL INTERNACIONAL FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-05;;;;;;;;N;Fechado;;;95548736.91;2026-02-28;10830108000165;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;;;;
356;33938;868235000108;8923;2025-06-05;2025-06-05;2025-06-05;Classes de Cotas de Fundos FII;HERMES FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-05;;;;;;;;N;Fechado;;;121632034.36;2026-02-28;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;;;;
365;33939;1201140000190;8931;2025-06-18;2025-06-18;2025-06-18;Classes de Cotas de Fundos FII;GRAND PLAZA SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-18;;;;;;;;N;Fechado;;;521834741.69;2026-02-28;10830108000165;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;;;;
368;33940;1235622000161;6653;2024-12-18;2024-12-18;2024-12-18;Classes de Cotas de Fundos FII;OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO -  RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-12-18;;;;;;;;N;Fechado;;;3883679875.19;2026-02-28;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;13486793000142;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;
380;33941;1497954000114;14656;2025-06-17;2025-06-17;2025-06-17;Classes de Cotas de Fundos FII;FII MISTRAL;Em Funcionamento Normal;2025-06-17;;;;;;;;N;Fechado;;;163948978.32;2026-02-28;89859466000150;CONFIDOR AUDITORES ASSOCIADOS;;;;
388;33942;1601918000159;8940;2025-06-26;2025-06-26;2025-06-26;Classes de Cotas de Fundos FII;FORTALEZA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-26;;;;;;;;N;Fechado;;;59029003.69;2026-02-28;10830108000165;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;;;;
390;33943;1633741000172;12572;2025-08-01;2025-08-01;2025-08-01;Classes de Cotas de Fundos FII;FII MEMORIAL OFFICE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-08-01;;;;;;;;N;Fechado;;;23619685.18;2026-02-28;54080721000188;CLA - CLIFTON LARSON ALLEN BRASIL AUDITORES INDEPENDENTES LTDA;7253654000176;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;
391;33944;1636325000128;5959;2025-06-05;2025-06-05;2025-06-05;Classes de Cotas de Fundos FII;PÁTEO MOINHOS DE VENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-05;;;;;;;;N;Fechado;;;312830039.33;2026-02-28;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;;
392;33945;1657856000105;8958;2025-06-27;2025-06-27;2025-06-27;Classes de Cotas de Fundos FII;SCP FII - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-27;;;;;;;;N;Fechado;;;41532762.75;2026-02-28;40221974000110;ECOVIS WFA AUDITORES INDEPENDENTES S/S;44077014000189;BR-CAPITAL DTVM S.A.;;
410;33946;2508235000114;8966;2025-06-26;2025-06-26;2025-06-26;Classes de Cotas de Fundos FII;LOGINVEST FUNDO DE INVESTIMENTO IMOBILIÁRIO INDUSTRIAL DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-26;;;;;;;;N;Fechado;;;262495008.26;2026-02-28;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;;;;
415;33947;3251720000118;7650;2025-06-11;2025-06-11;2025-06-11;Classes de Cotas de Fundos FII;PROJETO ÁGUA BRANCA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-11;;;;;;;;N;Fechado;;;268747737.19;2026-02-28;61562112000120;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;30306294000145;BANCO BTG PACTUAL S/A;;
417;33948;3507519000159;8974;2025-06-12;2025-06-12;2025-06-12;Classes de Cotas de Fundos FII;SHOPPING PÁTIO HIGIENÓPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-12;;;;;;;;N;Fechado;;;630417413.11;2026-02-28;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;;;;
418;33949;3683056000186;8982;2025-06-18;2025-06-18;2025-06-18;Classes de Cotas de Fundos FII;RIO BRAVO RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-18;;;;;;;;N;Fechado;;;735708921.82;2026-02-28;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;;;;
420;33950;3855441000163;8990;2025-06-05;2025-06-05;2025-06-05;Classes de Cotas de Fundos FII;RB LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-05;;;;;;;;N;Fechado;;;137685789.17;2026-03-31;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;60701190000104;ITAU UNIBANCO S.A.;;
423;33951;4066582000160;4634;2024-10-01;2024-10-01;2024-10-01;Classes de Cotas de Fundos FII;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL DA CRIANÇA RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-10-01;;;;;;;;N;Fechado;;;56226717.20;2026-02-28;61366936000125;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;;;
424;33952;4141645000103;9008;2025-06-27;2025-06-27;2025-06-27;Classes de Cotas de Fundos FII;FII CONTINENTAL SQUARE FARIA LIMA - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-06-27;;;;;;;;N;Fechado;;;345711893.79;2026-02-28;16549480000184;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;;;;
427;33953;4644612000178;5142;2025-05-02;2025-05-02;2025-05-02;Classes de Cotas de Fundos FII;STARK FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-05-02;;;;;;;;N;Fechado;;;28637388.83;2026-02-28;57755217000129;KPMG AUDITORES INDEPENDENTES LTDA.;42066258000130;RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;
